イベントレーンID,識別ID,プレイヤーイラストID,パートナーイラストID,一行目,二行目
2,0,-1,5,精霊さま！,お待ちください！！
2,1,0,5,あら　時間ぴったりね,
2,2,0,5,もちろんです！,どこまでもお供しますよ！
2,3,1,5,それは頼もしいわ,
2,4,1,6,さあ！,元気のない草花に　浄化を！
2,5,1,6,Bloomアクション,Xボタン
3,0,-1,6,精霊さま　お美しいです！,
3,1,1,6,ふふ　よそ見しちゃだめよ,
4,0,-1,7,精霊さま,どうしてでしょうか
4,1,-1,7,空の花たちも,元気がないみたいです
4,2,3,7,そうね,みんな　元気にしましょう
4,3,3,4,ということは！,
4,4,3,5,精霊さまの華麗な舞を,堪能できるんですね！！
4,5,0,4,嬉しそうね,なら　期待に応えないと
4,6,0,4,Danceアクション,Zボタン
5,0,-1,4,この辺りは,元気になりましたね！
5,1,0,4,ええ　良かったわ,
5,2,0,4,それで,次の目的地は？
5,3,0,4,この先よ,
6,0,0,-1,待って,
6,1,0,7,おっとっと！？,
6,2,3,7,感じる…,樹々たちの　悲しい声
6,3,3,7,急ぎましょう,
6,4,0,4,分かりました！！,
6,5,2,5,空間を　移動します,
8,0,-1,4,ここは…,
8,1,-1,7,大変です！,元気のない樹が…
8,2,3,7,ええ　,みんな　助けましょう
9,0,-1,5,流石です　精霊さま,みんな　喜んでますね
9,1,1,5,そうね,ここも　安心かしら
9,2,0,5,それじゃあ次は…,
9,3,1,5,あそこに行きましょう！,
9,4,1,6,精霊さまの,お気に入りの場所へ！
9,5,2,6,素敵な考えね,
9,6,2,6,行きましょう！！,
11,0,2,-1,さあ　目に映る光景,全て　色づけましょう
11,1,2,6,これが,最後の浄化です！
12,0,1,-1,今日はありがとう,楽しかったわ
12,1,1,5,お力になれて,うれしいです！
12,0,-1,4,…あれ？,
12,1,-1,4,精霊さま…？,
12,2,-1,4,はい　チーズ,
13,3,1,5,わ！！,
13,4,2,5,ふふ　,
13,5,2,6,さあ,帰りましょうか
